s_id	nsubj          	sub            	dobj           
3   	understanding  	enabling       	computers      
3   	others         	involve        	generation     
5   	Turing         	published      	article        
6   	experiment     	involved       	translation    
11  	ELIZA          	provided       	interaction    
12  	patient        	exceeded       	base           
12  	ELIZA          	provide        	response       
14  	which          	structured     	information    
19  	that           	underlies      	approach       
19  	underpinnings  	discouraged    	sort           
20  	Some           	produced       	systems        
21  	which          	make           	decisions      
22  	systems        	rely           	which          
23  	that           	contains       	errors         
34  	implementations	involved       	coding         
38  	algorithms     	take           	set            
39  	Some           	produced       	systems        
40  	which          	make           	decisions      
41  	models         	have           	advantage      
41  	they           	express        	certainty      
42  	Systems        	have           	advantages     
43  	Automatic      	make           	use            
44  	that           	make           	decisions      
